id,code,description,unit,category,subcategory,rate,cellRate_reference,cellRate_rate,excelCellReference,sourceSheetName,keywords
RC41,RC41,Bed; 150-450mm thk,m3,RC works,Plain Concrete C40; DS/DC/AC-2/3/4,187.18,RCworks!67,187.18,RCworks!A67,RC works,
RC42,RC42,Strip footings,m3,RC works,Plain Concrete C40; DS/DC/AC-2/3/4,185.41,RCworks!68,185.41,RCworks!A68,RC works,
RC1,RC1,Pile caps / foundations,m3,RC works,Reinforced Concrete C25; DS/DC/AC-2/3/4,166.29,RCworks!73,166.29,RCworks!A73,RC works,foundation
RC43,RC43,Bed; 150-450mm thk,m3,RC works,Reinforced Concrete C25; DS/DC/AC-2/3/4,168.6,RCworks!74,168.6,RCworks!A74,RC works,
RC44,RC44,Walls; 150-450mm thk,m3,RC works,Reinforced Concrete C25; DS/DC/AC-2/3/4,189.52,RCworks!75,189.52,RCworks!A75,RC works,wall
RC44,RC44,Slabs/Topping; not exceeding 150mm thk,m3,RC works,Reinforced Concrete C30,186.26,RCworks!78,186.26,RCworks!A78,RC works,slab
RC45,RC45,Slabs/Topping; 50mm thk,m2,RC works,Reinforced Concrete C30,10.24,RCworks!79,10.24,RCworks!A79,RC works,slab
RC46,RC46,Walls; 150-450mm thk,m3,RC works,Reinforced Concrete C30,191.92,RCworks!80,191.92,RCworks!A80,RC works,wall
RC47,RC47,Pile caps / foundations,m3,RC works,Reinforced Concrete FND2/3/4 (C35); DS/DC/AC-2/3/4,171.13,RCworks!83,171.13,RCworks!A83,RC works,foundation
RC48,RC48,Ground beams,m3,RC works,Reinforced Concrete FND2/3/4 (C35); DS/DC/AC-2/3/4,172.44,RCworks!84,172.44,RCworks!A84,RC works,beam
RC49,RC49,Bed; not exceeding 150mm thk,m3,RC works,Reinforced Concrete FND2/3/4 (C35); DS/DC/AC-2/3/4,185.05,RCworks!85,185.05,RCworks!A85,RC works,
RC50,RC50,Bed; not exceeding 150mm thk; sloping,m3,RC works,Reinforced Concrete FND2/3/4 (C35); DS/DC/AC-2/3/4,190.92,RCworks!86,190.92,RCworks!A86,RC works,
RC51,RC51,Bed; 150-450mm thk,m3,RC works,Reinforced Concrete FND2/3/4 (C35); DS/DC/AC-2/3/4,174.65,RCworks!87,174.65,RCworks!A87,RC works,
RC52,RC52,Bed; 150-450mm thk; sloping,m3,RC works,Reinforced Concrete FND2/3/4 (C35); DS/DC/AC-2/3/4,178.43,RCworks!88,178.43,RCworks!A88,RC works,
RC53,RC53,Bed; ex 450mm thk,m3,RC works,Reinforced Concrete FND2/3/4 (C35); DS/DC/AC-2/3/4,173.63,RCworks!89,173.63,RCworks!A89,RC works,
RC54,RC54,Capping beam / beam,m3,RC works,Reinforced Concrete FND2/3/4 (C35); DS/DC/AC-2/3/4,183.09,RCworks!90,183.09,RCworks!A90,RC works,beam
RC55,RC55,Columns/Stub columns (under slab),m3,RC works,Reinforced Concrete FND2/3/4 (C35); DS/DC/AC-2/3/4,206.18,RCworks!91,206.18,RCworks!A91,RC works,slab|column
RC56,RC56,Column casings,m3,RC works,Reinforced Concrete FND2/3/4 (C35); DS/DC/AC-2/3/4,297.25,RCworks!92,297.25,RCworks!A92,RC works,column
RC57,RC57,Walls; 150-450mm thk,m3,RC works,Reinforced Concrete FND2/3/4 (C35); DS/DC/AC-2/3/4,194.31,RCworks!93,194.31,RCworks!A93,RC works,wall
RC58,RC58,Lift pit base & walls,m3,RC works,Reinforced Concrete FND2/3/4 (C35); DS/DC/AC-2/3/4,212.39,RCworks!94,212.39,RCworks!A94,RC works,wall
RC59,RC59,Upstands,m3,RC works,Reinforced Concrete FND2/3/4 (C35); DS/DC/AC-2/3/4,212.39,RCworks!95,212.39,RCworks!A95,RC works,
RC60,RC60,Slabs; not exceeding 150mm thk,m3,RC works,"Reinforced Concrete C35, RC35",190.18,RCworks!98,190.18,RCworks!A98,RC works,slab
RC61,RC61,Slabs; 150-450mm thk,m3,RC works,"Reinforced Concrete C35, RC35",178.54,RCworks!99,178.54,RCworks!A99,RC works,slab
RC62,RC62,Slabs; 150-450mm thk; sloping,m3,RC works,"Reinforced Concrete C35, RC35",182.38,RCworks!100,182.38,RCworks!A100,RC works,slab
RC63,RC63,Slabs; ex 450mm thk,m3,RC works,"Reinforced Concrete C35, RC35",178.27,RCworks!101,178.27,RCworks!A101,RC works,slab
RC64,RC64,Attached beams,m3,RC works,"Reinforced Concrete C35, RC35",178.54,RCworks!102,178.54,RCworks!A102,RC works,beam
RC65,RC65,Isolated beams,m3,RC works,"Reinforced Concrete C35, RC35",239.42,RCworks!103,239.42,RCworks!A103,RC works,beam
RC66,RC66,Walls; not exceeding 150mm thk,m3,RC works,"Reinforced Concrete C35, RC35",210.05,RCworks!104,210.05,RCworks!A104,RC works,wall
RC67,RC67,Walls; 150-450mm thk,m3,RC works,"Reinforced Concrete C35, RC35",193.75,RCworks!105,193.75,RCworks!A105,RC works,wall
RC68,RC68,Walls; ex 450mm thk,m3,RC works,"Reinforced Concrete C35, RC35",191.64,RCworks!106,191.64,RCworks!A106,RC works,wall
RC69,RC69,Attached piers,m3,RC works,"Reinforced Concrete C35, RC35",194.53,RCworks!107,194.53,RCworks!A107,RC works,
RC70,RC70,Columns,m3,RC works,"Reinforced Concrete C35, RC35",198.19,RCworks!108,198.19,RCworks!A108,RC works,column
RC71,RC71,Column casings,m3,RC works,"Reinforced Concrete C35, RC35",229.6,RCworks!109,229.6,RCworks!A109,RC works,column
RC72,RC72,Lift pit base & walls,m3,RC works,"Reinforced Concrete C35, RC35",212.39,RCworks!110,212.39,RCworks!A110,RC works,wall
RC73,RC73,Upstands,m3,RC works,"Reinforced Concrete C35, RC35",212.39,RCworks!111,212.39,RCworks!A111,RC works,
RC74,RC74,Plinths,m3,RC works,"Reinforced Concrete C35, RC35",211.64,RCworks!112,211.64,RCworks!A112,RC works,
