id,code,description,unit,category,subcategory,rate,cellRate_reference,cellRate_rate,excelCellReference,sourceSheetName,keywords
UP1,UP1,Excavate preliminary trench (by hand),m3,Underpinning,Trench Excavation,45.6,Underpinning!E13,45.6,Underpinning!A13,Underpinning,trench
UP2,UP2,Clean face of brickwork/concrete exposed during excavations,m2,Underpinning,Excavation,11.2,Underpinning!E14,11.2,Underpinning!A14,Underpinning,"excavation,concrete"
UP3,UP3,Dispose of excavation arisings off site; clean inert material,m3,Underpinning,Excavation,58.79,Underpinning!E16,58.79,Underpinning!A16,Underpinning,excavation
UP4,UP4,Level & compact bottom of excavation,m2,Underpinning,Excavation,4.8,Underpinning!E17,4.8,Underpinning!A17,Underpinning,excavation
UP5,UP5,EWS; not exceeding 1m,m2,Underpinning,Underpinning,9.89,Underpinning!E18,9.89,Underpinning!A18,Underpinning,1m
UP6,UP6,Filling; with SEM,m3,Underpinning,Underpinning,39.79,Underpinning!E19,39.79,Underpinning!A19,Underpinning,
UP7,UP1,Excavate preliminary trench (by hand),m3,Underpinning,Trench Excavation,70.28,Underpinning!E22,70.28,Underpinning!A22,Underpinning,trench
UP8,UP2,Clean face of brickwork/concrete exposed during excavations,m2,Underpinning,Excavation,11.2,Underpinning!E23,11.2,Underpinning!A23,Underpinning,"excavation,concrete"
UP9,UP3,Dispose of excavation arisings off site; clean inert material,m3,Underpinning,Excavation,58.79,Underpinning!E25,58.79,Underpinning!A25,Underpinning,excavation
UP10,UP4,Level & compact bottom of excavation,m2,Underpinning,Excavation,4.8,Underpinning!E26,4.8,Underpinning!A26,Underpinning,excavation
UP11,UP5,EWS; not exceeding 2m,m2,Underpinning,Underpinning,20.41,Underpinning!E27,20.41,Underpinning!A27,Underpinning,2m
UP12,UP6,Filling; with SEM,m3,Underpinning,Underpinning,39.79,Underpinning!E28,39.79,Underpinning!A28,Underpinning,
UP13,UP1,Excavate underpinning trench (by hand),m3,Underpinning,Underpinning Excavation,78.51,Underpinning!E31,78.51,Underpinning!A31,Underpinning,"underpinning,trench"
UP14,UP2,Dispose of excavation arisings off site; clean inert material,m3,Underpinning,Excavation,58.79,Underpinning!E33,58.79,Underpinning!A33,Underpinning,excavation
UP15,UP3,EWS; not exceeding 1m,m2,Underpinning,Underpinning,15.01,Underpinning!E34,15.01,Underpinning!A34,Underpinning,1m
UP16,UP4,Level & compact bottom of excavation,m2,Underpinning,Excavation,4.8,Underpinning!E35,4.8,Underpinning!A35,Underpinning,excavation
UP17,UP5,to underpin,m3,Underpinning,Plain Concrete FND2,277.75,Underpinning!E37,277.75,Underpinning!A37,Underpinning,
UP18,UP6,Formwork to face of underpin,m2,Underpinning,Plain Concrete FND2,50.86,Underpinning!E38,50.86,Underpinning!A38,Underpinning,
UP19,UP7,Formwork to rear face of underpin; left in,m2,Underpinning,Plain Concrete FND2,26.02,Underpinning!E39,26.02,Underpinning!A39,Underpinning,
UP20,UP8,Clean face of concrete of adjacent pins,m2,Underpinning,Plain Concrete FND2,11.2,Underpinning!E40,11.2,Underpinning!A40,Underpinning,concrete
UP21,UP9,16 dia x 600 lg dowel bars between adjacent pins,nr,Underpinning,Plain Concrete FND2,5.63,Underpinning!E41,5.63,Underpinning!A41,Underpinning,
UP22,UP10,Imported granular fill; type 1,m3,Underpinning,Plain Concrete FND2,77.81,Underpinning!E42,77.81,Underpinning!A42,Underpinning,
UP23,UP11,Level & compact surface of fill,m2,Underpinning,Plain Concrete FND2,4.8,Underpinning!E43,4.8,Underpinning!A43,Underpinning,
UP24,UP12,Clean underside of existing foundation; 1000mm wide,m,Underpinning,Plain Concrete FND2,63.31,Underpinning!E44,63.31,Underpinning!A44,Underpinning,"1000mm,foundation"
UP25,UP13,Dry pack to underside of existing foundation; not exceeding 1000mm wide,m,Underpinning,Plain Concrete FND2,109.53,Underpinning!E45,109.53,Underpinning!A45,Underpinning,"1000mm,foundation"
UP26,UP1,Excavate underpinning trench (by hand),m3,Underpinning,Plain Concrete FND2,85.1,Underpinning!E48,85.1,Underpinning!A48,Underpinning,"underpinning,trench"
UP27,UP2,Dispose of excavation arisings off site; clean inert material,m3,Underpinning,Plain Concrete FND2,58.79,Underpinning!E50,58.79,Underpinning!A50,Underpinning,excavation
UP28,UP3,EWS; not exceeding 2m,m2,Underpinning,Plain Concrete FND2,31.2,Underpinning!E51,31.2,Underpinning!A51,Underpinning,2m
UP29,UP4,Level & compact bottom of excavation,m2,Underpinning,Plain Concrete FND2,4.8,Underpinning!E52,4.8,Underpinning!A52,Underpinning,excavation
UP30,UP5,to underpin,m3,Underpinning,Plain Concrete FND2,277.75,Underpinning!E54,277.75,Underpinning!A54,Underpinning,
UP31,UP6,Formwork to face of underpin,m2,Underpinning,Plain Concrete FND2,50.86,Underpinning!E55,50.86,Underpinning!A55,Underpinning,
UP32,UP7,Formwork to rear face of underpin; left in,m2,Underpinning,Plain Concrete FND2,26.02,Underpinning!E56,26.02,Underpinning!A56,Underpinning,
