id,code,description,unit,category,subcategory,rate,cellRate_reference,cellRate_rate,excelCellReference,sourceSheetName,keywords
DRA1,DRA1,All items below based on disposal of excavation arisings being clean/inert material. Rates flucuating based on a prime cost of:,item,Drainage,Excavation,300.0,Drainage!O20,300.0,Drainage!A20,Drainage,
DRA2,DRA2,Excludes suspended drainage to ground floor,item,Drainage,General Drainage,0.0,,0.0,Drainage!A21,Drainage,drainage
DRA3,DRA3,Excludes services and service entries. No details,item,Drainage,General Drainage,0.0,,0.0,Drainage!A22,Drainage,
DRA4,DRA4,Excavate trenches for pipes ne 200mm dia; backfill with SEM; dispose of surplus off site; depth to invert:; depth to invert: not exceeding 0.5 m,m,Drainage,Pipework,13.13,Drainage!O25,13.13,Drainage!A25,Drainage,"200mm,excavate,trench,pipe,backfill,sem,dispose,invert"
DRA5,DRA5,Excavate trenches for pipes ne 200mm dia; backfill with SEM; dispose of surplus off site; depth to invert:; depth to invert: 0.5 - 0.75 m,m,Drainage,Pipework,17.49,Drainage!O26,17.49,Drainage!A26,Drainage,"200mm,excavate,trench,pipe,backfill,sem,dispose,invert"
DRA6,DRA6,Excavate trenches for pipes ne 200mm dia; backfill with SEM; dispose of surplus off site; depth to invert:; depth to invert: 0.75 - 1 m,m,Drainage,Pipework,22.35,Drainage!O27,22.35,Drainage!A27,Drainage,"200mm,excavate,trench,pipe,backfill,sem,dispose,invert"
DRA7,DRA7,Excavate trenches for pipes ne 200mm dia; backfill with SEM; dispose of surplus off site; depth to invert:; depth to invert: 1 - 1.25 m,m,Drainage,Pipework,33.52,Drainage!O28,33.52,Drainage!A28,Drainage,"200mm,excavate,trench,pipe,backfill,sem,dispose,invert"
DRA8,DRA8,Excavate trenches for pipes ne 200mm dia; backfill with SEM; dispose of surplus off site; depth to invert:; depth to invert: 1.25 - 1.5 m,m,Drainage,Pipework,38.39,Drainage!O29,38.39,Drainage!A29,Drainage,"200mm,excavate,trench,pipe,backfill,sem,dispose,invert"
DRA9,DRA9,Excavate trenches for pipes ne 200mm dia; backfill with SEM; dispose of surplus off site; depth to invert:; depth to invert: 1.5 - 1.75 m,m,Drainage,Pipework,53.05,Drainage!O30,53.05,Drainage!A30,Drainage,"200mm,excavate,trench,pipe,backfill,sem,dispose,invert"
DRA10,DRA10,Excavate trenches for pipes ne 200mm dia; backfill with SEM; dispose of surplus off site; depth to invert:; depth to invert: 1.75 - 2 m,m,Drainage,Pipework,59.0,Drainage!O31,59.0,Drainage!A31,Drainage,"200mm,excavate,trench,pipe,backfill,sem,dispose,invert"
DRA11,DRA11,Excavate trenches for pipes ne 200mm dia; backfill with SEM; dispose of surplus off site; depth to invert:; depth to invert: 2 - 2.25 m,m,Drainage,Pipework,81.49,Drainage!O32,81.49,Drainage!A32,Drainage,"200mm,excavate,trench,pipe,backfill,sem,dispose,invert"
DRA12,DRA12,Excavate trenches for pipes ne 200mm dia; backfill with SEM; dispose of surplus off site; depth to invert:; depth to invert: 2.25 - 2.5 m,m,Drainage,Pipework,92.88,Drainage!O33,92.88,Drainage!A33,Drainage,"200mm,excavate,trench,pipe,backfill,sem,dispose,invert"
DRA13,DRA13,Excavate trenches for pipes ne 200mm dia; backfill with SEM; dispose of surplus off site; depth to invert:; depth to invert: 2.5 - 2.75 m,m,Drainage,Pipework,112.96,Drainage!O34,112.96,Drainage!A34,Drainage,"200mm,excavate,trench,pipe,backfill,sem,dispose,invert"
DRA14,DRA14,Excavate trenches for pipes ne 200mm dia; backfill with SEM; dispose of surplus off site; depth to invert:; depth to invert: 2.75 - 3 m,m,Drainage,Pipework,131.31,Drainage!O35,131.31,Drainage!A35,Drainage,"200mm,excavate,trench,pipe,backfill,sem,dispose,invert"
DRA15,DRA15,Excavate trenches for pipes ne 200mm dia; backfill with SEM; dispose of surplus off site; depth to invert:; depth to invert: 3 - 3.25 m,m,Drainage,Pipework,140.79,Drainage!O36,140.79,Drainage!A36,Drainage,"200mm,excavate,trench,pipe,backfill,sem,dispose,invert"
DRA16,DRA16,Excavate trenches for pipes ne 200mm dia; backfill with SEM; dispose of surplus off site; depth to invert:; depth to invert: 3.25 - 3.5 m,m,Drainage,Pipework,150.28,Drainage!O37,150.28,Drainage!A37,Drainage,"200mm,excavate,trench,pipe,backfill,sem,dispose,invert"
DRA17,DRA17,Excavate trenches for pipes ne 200mm dia; backfill with SEM; dispose of surplus off site; depth to invert:; depth to invert: 3.5 - 3.75 m,m,Drainage,Pipework,205.97,Drainage!O38,205.97,Drainage!A38,Drainage,"200mm,excavate,trench,pipe,backfill,sem,dispose,invert"
DRA18,DRA18,Excavate trenches for pipes ne 200mm dia; backfill with SEM; dispose of surplus off site; depth to invert:; depth to invert: 3.75 - 4 m,m,Drainage,Pipework,218.15,Drainage!O39,218.15,Drainage!A39,Drainage,"200mm,excavate,trench,pipe,backfill,sem,dispose,invert"
DRA19,DRA19,Excavate trenches for pipes ne 200mm dia; backfill with SEM; dispose of surplus off site; depth to invert:; depth to invert: 4 - 4.25 m,m,Drainage,Pipework,281.92,Drainage!O40,281.92,Drainage!A40,Drainage,"200mm,excavate,trench,pipe,backfill,sem,dispose,invert"
DRA20,DRA20,Excavate trenches for pipes ne 200mm dia; backfill with SEM; dispose of surplus off site; depth to invert:; depth to invert: 4.25 - 4.5 m,m,Drainage,Pipework,296.79,Drainage!O41,296.79,Drainage!A41,Drainage,"200mm,excavate,trench,pipe,backfill,sem,dispose,invert"
