id,code,description,unit,category,subcategory,rate,cellRate_reference,cellRate_rate,excelCellReference,sourceSheetName,keywords
SER372,SER333,Pipes in trenches; MDPE; Barrier pressurised main; size: 90mm dia pipe,m,Services,Plumbing Works,52.64,Services!I475,52.64,Services!A475,Services,"90mm,pipe,plumbing_works"
SER373,SER334,Pipes in trenches; MDPE; Barrier pressurised main; size: 90mm dia bend,nr,Services,Plumbing Works,145.66,Services!I476,145.66,Services!A476,Services,"90mm,pipe,plumbing_works"
SER374,SER335,Pipes in trenches; MDPE; Barrier pressurised main; size: 90mm dia equal branch,nr,Services,Plumbing Works,236.52,Services!I477,236.52,Services!A477,Services,"90mm,pipe,plumbing_works"
SER375,SER336,Pipes in trenches; MDPE; Barrier pressurised main; size: 90dia gate valve,nr,Services,Plumbing Works,548.04,Services!I478,548.04,Services!A478,Services,"pipe,valve,plumbing_works"
SER376,SER333,Pipes in trenches; MDPE; Barrier pressurised main; size: 100mm dia pipe,m,Services,Plumbing Works,95.71,Services!I480,95.71,Services!A480,Services,"100mm,pipe,plumbing_works"
SER377,SER334,Ductwork accessories & fittings; clay; 100mm dia; bend,nr,Services,General Services,13.62,Services!I483,13.62,Services!A483,Services,"100mm,general_services"
SER378,SER335,Ductwork accessories & fittings; clay; 100mm dia; rocker,nr,Services,General Services,16.9,Services!I484,16.9,Services!A484,Services,"100mm,general_services"
SER379,SER336,Ductwork accessories & fittings; clay; 100mm dia; vertical pipework; inc conc surround,m,Services,Plumbing Works,61.89,Services!I485,61.89,Services!A485,Services,"100mm,pipe,plumbing_works"
SER380,SER337,Ductwork accessories & fittings; clay; 100 x 100 branch,item,Services,General Services,31.84,Services!I486,31.84,Services!A486,Services,general_services
SER381,SER338,Ductwork accessories & fittings; clay; 150mm dia; bend,nr,Services,General Services,25.55,Services!I487,25.55,Services!A487,Services,"150mm,general_services"
SER382,SER339,Ductwork accessories & fittings; clay; 150mm dia; rocker,nr,Services,General Services,29.13,Services!I488,29.13,Services!A488,Services,"150mm,general_services"
SER383,SER340,Ductwork accessories & fittings; clay; 150 x 100 branch,item,Services,General Services,45.41,Services!I489,45.41,Services!A489,Services,general_services
SER384,SER341,Ductwork accessories & fittings; clay; 150 x 150 branch,item,Services,General Services,47.16,Services!I490,47.16,Services!A490,Services,general_services
SER385,SER342,Ductwork accessories & fittings; clay; 150mm dia; vertical pipework; inc conc surround,m,Services,Plumbing Works,81.71,Services!I491,81.71,Services!A491,Services,"150mm,pipe,plumbing_works"
SER386,SER343,Ductwork accessories & fittings; clay; 225mm dia; bend,nr,Services,General Services,84.04,Services!I492,84.04,Services!A492,Services,"225mm,general_services"
SER387,SER344,Ductwork accessories & fittings; clay; 225mm dia; rest bend,nr,Services,General Services,103.97,Services!I493,103.97,Services!A493,Services,"225mm,general_services"
SER388,SER345,Ductwork accessories & fittings; clay; 225mm dia; rocker,nr,Services,General Services,49.21,Services!I494,49.21,Services!A494,Services,"225mm,general_services"
