id,code,description,unit,category,subcategory,rate,cellRate_reference,cellRate_rate,excelCellReference,sourceSheetName,keywords
GR41,GR41,Site clearance,m2,Groundworks,Enabling Works,0.97,Groundworks!F55,0.97,Groundworks!A55,Groundworks,
GR42,GR42,Excavate to reduce levels,m3,Groundworks,Enabling Works,3.94,Groundworks!F56,3.94,Groundworks!A56,Groundworks,
GR43,GR43,Excavate to reduce levels,m3,Groundworks,Enabling Works,3.94,Groundworks!F57,3.94,Groundworks!A57,Groundworks,
GR44,GR44,Dispose of excavation arisings off site; clean inert material,m3,Groundworks,Enabling Works,41.65,Groundworks!F59,41.65,Groundworks!A59,Groundworks,excavation
GR45,GR45,Dispose of excavation arisings off site; clean inert material,m3,Groundworks,Enabling Works,41.65,Groundworks!F60,41.65,Groundworks!A60,Groundworks,excavation
GR46,GR46,Level & compact bottom of excavation,m2,Groundworks,Enabling Works,0.53,Groundworks!F61,0.53,Groundworks!A61,Groundworks,excavation|compact
GR47,GR47,Level & compact bottom of excavation,m2,Groundworks,Enabling Works,0.34,Groundworks!F62,0.34,Groundworks!A62,Groundworks,excavation|compact
GR48,GR48,Terram,m2,Groundworks,Enabling Works,1.47,Groundworks!F63,1.47,Groundworks!A63,Groundworks,
GR49,GR49,Imported fill; hardcore / crushed concrete in piling mat,m3,Groundworks,Enabling Works,27.78,Groundworks!F64,27.78,Groundworks!A64,Groundworks,hardcore
GR50,GR50,Imported fill; hardcore / crushed concrete in piling mat,m3,Groundworks,Enabling Works,28.55,Groundworks!F65,28.55,Groundworks!A65,Groundworks,hardcore
GR51,GR51,Piling mat; imported hardcore; 600mm thk,m2,Groundworks,Enabling Works,16.67,Groundworks!F66,16.67,Groundworks!A66,Groundworks,600mm|hardcore
GR52,GR52,Haul roads; imported Type 1; 300mm thk,m3,Groundworks,Enabling Works,47.63,Groundworks!F67,47.63,Groundworks!A67,Groundworks,300mm
GR53,GR53,Hardstandings; imported Type 2; 250mm thick,m3,Groundworks,Enabling Works,44.85,Groundworks!F68,44.85,Groundworks!A68,Groundworks,250mm
GR54,GR54,Level & compact fill,m2,Groundworks,Enabling Works,0.53,Groundworks!F69,0.53,Groundworks!A69,Groundworks,compact
GR55,GR55,Level & compact fill,m2,Groundworks,Enabling Works,0.53,Groundworks!F70,0.53,Groundworks!A70,Groundworks,compact
GR56,GR56,Install protective matting,m2,Groundworks,Enabling Works,0.0,Groundworks!G71,0.0,Groundworks!A71,Groundworks,
GR57,GR57,Erect hoardings,m,Groundworks,Enabling Works,95.5,Groundworks!F72,95.5,Groundworks!A72,Groundworks,
GR58,GR58,Double gate; vehicle access,nr,Groundworks,Enabling Works,1422.59,Groundworks!F73,1422.59,Groundworks!A73,Groundworks,
GR59,GR59,EO for Pedestrian gate,nr,Groundworks,Enabling Works,381.04,Groundworks!F74,381.04,Groundworks!A74,Groundworks,
GR60,GR60,Temporary gates during piling; Double gate; vehicle access,nr,Groundworks,Enabling Works,1422.59,Groundworks!F75,1422.59,Groundworks!A75,Groundworks,
GR61,GR61,Heras Fencing (tree protection),m,Groundworks,Enabling Works,25.38,Groundworks!F76,25.38,Groundworks!A76,Groundworks,
