id,code,description,unit,category,subcategory,rate,cellRate_reference,cellRate_rate,excelCellReference,sourceSheetName,keywords
132,68,Coupler; T16,nr,Underpinning,Reinforcement; (Provisional),20.8,Underpinning!E178,20.8,Underpinning!A178,Underpinning,
133,69,Coupler; T20,nr,Underpinning,Reinforcement; (Provisional),22.26,Underpinning!E179,22.26,Underpinning!A179,Underpinning,
134,70,Tamp finish (Special finish),m2,Underpinning,Concrete unformed finishes,2.91,Underpinning!E182,2.91,Underpinning!A182,Underpinning,
135,71,Trowel finish,m2,Underpinning,Concrete unformed finishes,7.29,Underpinning!E183,7.29,Underpinning!A183,Underpinning,
136,72,Trowel; not exceeding 250mm,m,Underpinning,Concrete unformed finishes,3.83,Underpinning!E184,3.83,Underpinning!A184,Underpinning,250mm
137,73,Trowel; 250-500mm,m,Underpinning,Concrete unformed finishes,4.37,Underpinning!E185,4.37,Underpinning!A185,Underpinning,500mm
138,74,Trowel; 500-1m,m,Underpinning,Concrete unformed finishes,6.56,Underpinning!E186,6.56,Underpinning!A186,Underpinning,1m
139,75,EO joints for hydrophillic waterstop,m,Underpinning,Joints,10.86,Underpinning!E189,10.86,Underpinning!A189,Underpinning,
140,76,EO joints for serviseal AT240 waterstop,m,Underpinning,Joints,15.91,Underpinning!E190,15.91,Underpinning!A190,Underpinning,
141,77,EO joints for serviseal AT240 waterstop 2 way joint (L),nr,Underpinning,Joints,41.49,Underpinning!E191,41.49,Underpinning!A191,Underpinning,
142,78,EO joints for serviseal AT240 waterstop 3 way joint (T),nr,Underpinning,Joints,48.48,Underpinning!E192,48.48,Underpinning!A192,Underpinning,
143,79,EO joints for serviseal AT240 waterstop 4 way joint (X),nr,Underpinning,Joints,79.45,Underpinning!E193,79.45,Underpinning!A193,Underpinning,
144,80,Dry pack to underside of existing foundation; not exceeding 600mm wide,m,Underpinning,Sundries,65.72,Underpinning!E196,65.72,Underpinning!A196,Underpinning,"600mm,foundation"
145,81,Dry pack to underside of existing foundation; not exceeding 800mm wide,m,Underpinning,Sundries,87.62,Underpinning!E197,87.62,Underpinning!A197,Underpinning,"800mm,foundation"
146,82,Dry pack to underside of existing foundation; not exceeding 1000mm wide,m,Underpinning,Sundries,109.53,Underpinning!E198,109.53,Underpinning!A198,Underpinning,"1000mm,foundation"
