id,code,original_code,description,unit,category,subcategory,work_type,rate,cellRate_reference,cellRate_rate,excelCellReference,sourceSheetName,keywords
GW0208,204,204,Breakdown piles; 900mm dia x maximum 3500mm high; reinforcement de-bonded,nr,Groundworks,General Groundworks,Groundworks,166.85,F234,166.85,A234,Groundworks,900mm|3500mm|general_groundworks
GW0209,205,205,Breakdown piles; 900mm dia x maximum 4000mm high; reinforcement de-bonded,nr,Groundworks,General Groundworks,Groundworks,174.35,F235,174.35,A235,Groundworks,900mm|4000mm|general_groundworks
GW0210,206,206,Breakdown piles; 900mm dia x maximum 5500mm high; reinforcement de-bonded,nr,Groundworks,General Groundworks,Groundworks,196.86,F236,196.86,A236,Groundworks,900mm|5500mm|general_groundworks
GW0211,207,207,Breakdown piles; 900mm dia x maximum 5750mm high; reinforcement de-bonded,nr,Groundworks,General Groundworks,Groundworks,200.61,F237,200.61,A237,Groundworks,900mm|5750mm|general_groundworks
GW0212,208,208,Breakdown piles; 900mm dia x maximum 6000mm high; reinforcement de-bonded,nr,Groundworks,General Groundworks,Groundworks,204.37,F238,204.37,A238,Groundworks,900mm|6000mm|general_groundworks
GW0213,209,209,Breakdown piles; 900mm dia x maximum 9500mm high; reinforcement de-bonded,nr,Groundworks,General Groundworks,Groundworks,256.89,F239,256.89,A239,Groundworks,900mm|9500mm|general_groundworks
GW0214,210,210,Breakdown piles; 1050mm dia x maximum 500mm high; reinforcement de-bonded,nr,Groundworks,General Groundworks,Groundworks,142.14,F240,142.14,A240,Groundworks,1050mm|500mm|general_groundworks
GW0215,211,211,Breakdown piles; 1050mm dia x maximum 4500mm high; reinforcement de-bonded,nr,Groundworks,General Groundworks,Groundworks,223.84,F241,223.84,A241,Groundworks,1050mm|4500mm|general_groundworks
GW0216,212,212,Breakdown piles; 1050mm dia x maximum 6000mm high; reinforcement de-bonded,nr,Groundworks,General Groundworks,Groundworks,262.64,F242,262.64,A242,Groundworks,1050mm|6000mm|general_groundworks
GW0217,213,213,Breakdown piles; 1200mm dia x maximum 500mm high; reinforcement de-bonded,nr,Groundworks,General Groundworks,Groundworks,162.86,F243,162.86,A243,Groundworks,1200mm|500mm|general_groundworks
GW0218,214,214,Breakdown piles; 1500mm dia x maximum 500mm high; reinforcement de-bonded,nr,Groundworks,General Groundworks,Groundworks,202.38,F244,202.38,A244,Groundworks,1500mm|500mm|general_groundworks
GW0219,215,215,Breakdown piles; 2000mm dia x maximum 500mm high; reinforcement de-bonded,nr,Groundworks,General Groundworks,Groundworks,250.61,F245,250.61,A245,Groundworks,2000mm|500mm|general_groundworks
GW0220,216,216,Burn off top of sheet piles,m,Groundworks,General Groundworks,Groundworks,24.78,F246,24.78,A246,Groundworks,general_groundworks
GW0221,217,217,B/O & dispose RC guide wall for 450dia secant piles; 750 x 600,m,Groundworks,General Groundworks,Groundworks,58.03,F247,58.03,A247,Groundworks,general_groundworks
GW0222,218,218,B/O & dispose RC guide wall for 600dia secant piles; 900 x 600,m,Groundworks,General Groundworks,Groundworks,69.64,F248,69.64,A248,Groundworks,general_groundworks
GW0223,219,219,Excavate to reduce levels; 0.5-1m,m³,Groundworks,General Excavation,Excavation,1.54,F251,1.54,A251,Groundworks,1m|general_excavation
GW0224,220,220,Excavate to reduce levels; 2-5m,m³,Groundworks,General Excavation,Excavation,1.41,F252,1.41,A252,Groundworks,5m|general_excavation
GW0225,221,221,Excavate tarmac & concrete road; 0.25-0.50m (40 surface/60 binder/150 C7.5 base),m³,Groundworks,General Excavation,Excavation,12.09,F253,12.09,A253,Groundworks,50m|general_excavation
GW0226,222,222,Exc ancilliaries; trimming surfaces,m²,Groundworks,Surface Preparation,Groundworks,0.12,F254,0.12,A254,Groundworks,surface_preparation
GW0227,223,223,Exc ancilliaries; trimming surfaces; sloping,m²,Groundworks,Surface Preparation,Groundworks,1.15,F255,1.15,A255,Groundworks,surface_preparation
