id,code,original_code,description,unit,category,subcategory,work_type,rate,cellRate_reference,cellRate_rate,excelCellReference,sourceSheetName,keywords
SV0136,345,345,225mm diameter; rocker,nr,Services,General Services,Services Works,,,,A494,Services,225mm|general_services
SV0137,346,346,225x100/150 branch,item,Services,General Services,Services Works,,,,A495,Services,general_services
SV0138,347,347,225x225 branch,item,Services,General Services,Services Works,,,,A496,Services,general_services
SV0139,348,348,80mm diametermeter rising main with mechanical joints; class C - 9bar rating; bend,nr,Services,General Services,Services Works,,,,A499,Services,80mm|general_services
SV0140,349,349,80mm diametermeter rising main with mechanical joints; class C - 9bar rating; coupling to plain end/termination,nr,Services,General Services,Connection,,,,A500,Services,80mm|general_services
SV0141,350,350,50mm diameter; bend,nr,Services,General Services,Services Works,,,,A501,Services,50mm|general_services
SV0142,351,351,63mm diameter; bend,nr,Services,General Services,Services Works,,,,A502,Services,63mm|general_services
SV0143,352,352,80mm diameter; bend,nr,Services,General Services,Services Works,,,,A503,Services,80mm|general_services
SV0144,353,353,100mm diameter; bend,nr,Services,General Services,Services Works,,,,A504,Services,100mm|general_services
SV0145,354,354,100mm diameter; bend; lay only free issue,nr,Services,General Services,Services Works,,,,A505,Services,100mm|general_services
SV0146,355,355,100mm diameter; long radius bend,nr,Services,General Services,Services Works,,,,A506,Services,100mm|general_services
SV0147,356,356,100mm diameter; rest bend,nr,Services,General Services,Services Works,,,,A507,Services,100mm|general_services
SV0148,357,357,100mm diameter; rocker,nr,Services,General Services,Services Works,,,,A508,Services,100mm|general_services
SV0149,358,358,100mm diameter; vertical pipework; inc conc surround,m,Services,Plumbing Works,Services Works,,,,A509,Services,100mm|pipe|plumbing_works
SV0150,359,359,100x100 branch,item,Services,General Services,Services Works,,,,A510,Services,general_services
SV0151,360,360,125mm diameter; bend,nr,Services,General Services,Services Works,,,,A511,Services,125mm|general_services
SV0152,361,361,125mm diameter; long radius bend,nr,Services,General Services,Services Works,,,,A512,Services,125mm|general_services
SV0153,362,362,125mm diameter; rocker,nr,Services,General Services,Services Works,,,,A513,Services,125mm|general_services
SV0154,363,363,160mm diameter; bend,nr,Services,General Services,Services Works,,,,A514,Services,160mm|general_services
SV0155,364,364,160mm diameter; long radius bend,nr,Services,General Services,Services Works,,,,A515,Services,160mm|general_services
SV0156,365,365,160mm diameter; rest bend,nr,Services,General Services,Services Works,,,,A516,Services,160mm|general_services
SV0157,366,366,160mm diameter; rocker,nr,Services,General Services,Services Works,,,,A517,Services,160mm|general_services
SV0158,367,367,160x100 branch,item,Services,General Services,Services Works,,,,A518,Services,general_services
SV0159,368,368,160x160 branch,item,Services,General Services,Services Works,,,,A519,Services,general_services
SV0160,369,369,160mm diameter; vertical pipework; inc conc surround,m,Services,Plumbing Works,Services Works,,,,A520,Services,160mm|pipe|plumbing_works
SV0161,370,370,200mm diameter; bend,nr,Services,General Services,Services Works,,,,A521,Services,200mm|general_services
SV0162,371,371,200mm diameter; rocker,nr,Services,General Services,Services Works,,,,A522,Services,200mm|general_services
SV0163,372,372,200x100/160 branch,item,Services,General Services,Services Works,,,,A523,Services,general_services
SV0164,373,373,200x200 branch,item,Services,General Services,Services Works,,,,A524,Services,general_services
SV0165,374,374,250mm diameter; bend,nr,Services,General Services,Services Works,,,,A525,Services,250mm|general_services
SV0166,375,375,250mm diameter; rocker,nr,Services,General Services,Services Works,,,,A526,Services,250mm|general_services
SV0167,376,376,250x100/160 branch,item,Services,General Services,Services Works,,,,A527,Services,general_services
SV0168,377,377,250x250 branch,item,Services,General Services,Services Works,,,,A528,Services,general_services
SV0169,378,378,100mm diameter; bend,nr,Services,General Services,Services Works,,,,A530,Services,100mm|general_services
SV0170,379,379,100mm diameter; rest bend,nr,Services,General Services,Services Works,,,,A531,Services,100mm|general_services
SV0171,380,380,100mm diameter; rocker,nr,Services,General Services,Services Works,,,,A532,Services,100mm|general_services
SV0172,381,381,100mm diameter; vertical pipework; inc conc surround,m,Services,Plumbing Works,Services Works,,,,A533,Services,100mm|pipe|plumbing_works
SV0173,382,382,100x100 branch,item,Services,General Services,Services Works,,,,A534,Services,general_services
SV0174,383,383,150mm diameter; bend,nr,Services,General Services,Services Works,,,,A535,Services,150mm|general_services
SV0175,384,384,150mm diameter; rest bend,nr,Services,General Services,Services Works,,,,A536,Services,150mm|general_services
SV0176,385,385,150mm diameter; rocker,nr,Services,General Services,Services Works,,,,A537,Services,150mm|general_services
SV0177,386,386,150x100 branch,item,Services,General Services,Services Works,,,,A538,Services,general_services
SV0178,387,387,150x150 branch,item,Services,General Services,Services Works,,,,A539,Services,general_services
SV0179,388,388,150mm diameter; vertical pipework; inc conc surround,m,Services,Plumbing Works,Services Works,,,,A540,Services,150mm|pipe|plumbing_works
SV0180,389,389,250mm diameter; bend,nr,Services,General Services,Services Works,,,,A541,Services,250mm|general_services
SV0181,390,390,250mm diameter; rocker,nr,Services,General Services,Services Works,,,,A542,Services,250mm|general_services
SV0182,391,391,250x250 branch,item,Services,General Services,Services Works,,,,A543,Services,general_services
SV0183,392,392,"0.50m deep trench b/fill wi SEM, 100 UPVC duct, sand B&S, warning tape & draw cord",m,Services,General Services,Services Works,,,,A546,Services,pvc|general_services
SV0184,393,393,"0.75m deep trench b/fill wi SEM, 100 UPVC duct, sand B&S, warning tape & draw cord",m,Services,General Services,Services Works,,,,A547,Services,pvc|general_services
SV0185,394,394,"1.0m deep trench b/fill wi SEM, 100 UPVC duct, sand B&S, warning tape & draw cord",m,Services,General Services,Services Works,,,,A548,Services,pvc|general_services
SV0186,395,395,"0.50m deep trench b/fill wi 6F2, 100 UPVC duct, sand B&S, warning tape & draw cord",m,Services,General Services,Services Works,,,,A549,Services,pvc|general_services
SV0187,396,396,"0.75m deep trench b/fill wi 6F2, 100 UPVC duct, sand B&S, warning tape & draw cord",m,Services,General Services,Services Works,,,,A550,Services,pvc|general_services
SV0188,397,397,"1.0m deep trench b/fill wi 6F2, 100 UPVC duct, sand B&S, warning tape & draw cord",m,Services,General Services,Services Works,,,,A551,Services,pvc|general_services
SV0189,398,398,"0.75m deep trench b/fill wi SEM, pipe ne 100 diameter by others, sand B&S & warning tape",m,Services,Plumbing Works,Services Works,,,,A553,Services,pipe|plumbing_works
SV0190,399,399,"1.0m deep trench b/fill wi SEM, pipe ne 100 diameter by others, sand B&S & warning tape",m,Services,Plumbing Works,Services Works,,,,A554,Services,pipe|plumbing_works
SV0191,400,400,"0.75m deep trench b/fill wi 6F2, pipe ne 100 diameter by others, sand B&S & warning tape",m,Services,Plumbing Works,Services Works,,,,A555,Services,pipe|plumbing_works
SV0192,401,401,"1.00m deep trench b/fill wi 6F2, pipe ne 100 diameter by others, sand B&S & warning tape",m,Services,Plumbing Works,Services Works,,,,A556,Services,pipe|plumbing_works
SV0193,401,401,Instal only Lighting Bollard,nr,Services,General Services,Services Works,,,,A581,Services,light|general_services
SV0194,402,402,Instal only Lamp column,item,Services,General Services,Services Works,,,,A582,Services,general_services
SV0195,403,403,Instal only Feeder Pillars,item,Services,General Services,Services Works,,,,A583,Services,general_services
SV0196,404,404,Temporary marker posts,item,Services,General Services,Services Works,,,,A584,Services,general_services
SV0197,413,413,EO for B125 cover & frame,item,Services,General Services,Services Works,,,,A596,Services,general_services
SV0198,SV0198,,UPVC Draw pit/valve pit/fire hydrant pit; 600x600mm; A15 C&F; depth to invert:-,nr,Services,Fire Protection,Services Works,,,,A597,Services,pvc|valve|fire_protection
SV0199,418,418,EO for C250 cover & frame,item,Services,General Services,Services Works,,,,A602,Services,general_services
SV0200,419,419,EO for D400 cover & frame,item,Services,General Services,Services Works,,,,A603,Services,general_services
