id,code,original_code,description,unit,category,subcategory,work_type,rate,cellRate_reference,cellRate_rate,excelCellReference,sourceSheetName,keywords
DR_0022_Drainage,DR0022,25,Excavate trenches for pipes ne 200mm dia; backfill with SEM; dispose of surplus off site; depth to invert:; depth to invert: 5.5 - 5.75 m,m,Drainage,Pipework,Drainage Works,371.15,Drainage!O46,371.15,Drainage!A46,Drainage,200mm|excavate|trench|pipe|backfill|sem|dispose|invert
DR_0023_Drainage,DR0023,26,Excavate trenches for pipes ne 200mm dia; backfill with SEM; dispose of surplus off site; depth to invert:; depth to invert: 5.75 - 6 m,m,Drainage,Pipework,Drainage Works,386.02,Drainage!O47,386.02,Drainage!A47,Drainage,200mm|excavate|trench|pipe|backfill|sem|dispose|invert
DR_0024_Drainage,DR0024,27,Excavate trenches for pipes ne 200mm dia; backfill with SEM; dispose of surplus off site; depth to invert:; depth to invert: 6 - 6.25 m,m,Drainage,Pipework,Drainage Works,400.89,Drainage!O48,400.89,Drainage!A48,Drainage,200mm|excavate|trench|pipe|backfill|sem|dispose|invert
DR_0025_Drainage,DR0025,28,Excavate trenches for pipes ne 200mm dia; backfill with SEM; dispose of surplus off site; depth to invert:; depth to invert: 6.25 - 6.5 m,m,Drainage,Pipework,Drainage Works,415.77,Drainage!O49,415.77,Drainage!A49,Drainage,200mm|excavate|trench|pipe|backfill|sem|dispose|invert
DR_0026_Drainage,DR0026,29,Excavate trenches for pipes ne 200mm dia; backfill with SEM; dispose of surplus on site; depth to invert:; depth to invert: not exceeding 0.5 m,m,Drainage,Pipework,Drainage Works,4.84,Drainage!O51,4.84,Drainage!A51,Drainage,200mm|excavate|trench|pipe|backfill|sem|dispose|invert
DR_0027_Drainage,DR0027,30,Excavate trenches for pipes ne 200mm dia; backfill with SEM; dispose of surplus on site; depth to invert:; depth to invert: 0.5 - 0.75 m,m,Drainage,Pipework,Drainage Works,7.78,Drainage!O52,7.78,Drainage!A52,Drainage,200mm|excavate|trench|pipe|backfill|sem|dispose|invert
DR_0028_Drainage,DR0028,31,Excavate trenches for pipes ne 200mm dia; backfill with SEM; dispose of surplus on site; depth to invert:; depth to invert: 0.75 - 1 m,m,Drainage,Pipework,Drainage Works,11.11,Drainage!O53,11.11,Drainage!A53,Drainage,200mm|excavate|trench|pipe|backfill|sem|dispose|invert
DR_0029_Drainage,DR0029,32,Excavate trenches for pipes ne 200mm dia; backfill with SEM; dispose of surplus on site; depth to invert:; depth to invert: 1 - 1.25 m,m,Drainage,Pipework,Drainage Works,20.41,Drainage!O54,20.41,Drainage!A54,Drainage,200mm|excavate|trench|pipe|backfill|sem|dispose|invert
DR_0030_Drainage,DR0030,33,Excavate trenches for pipes ne 200mm dia; backfill with SEM; dispose of surplus on site; depth to invert:; depth to invert: 1.25 - 1.5 m,m,Drainage,Pipework,Drainage Works,24.45,Drainage!O55,24.45,Drainage!A55,Drainage,200mm|excavate|trench|pipe|backfill|sem|dispose|invert
DR_0031_Drainage,DR0031,34,Excavate trenches for pipes ne 200mm dia; backfill with SEM; dispose of surplus on site; depth to invert:; depth to invert: 1.5 - 1.75 m,m,Drainage,Pipework,Drainage Works,34.57,Drainage!O56,34.57,Drainage!A56,Drainage,200mm|excavate|trench|pipe|backfill|sem|dispose|invert
