id,code,original_code,description,unit,category,subcategory,work_type,rate,cellRate_reference,cellRate_rate,excelCellReference,sourceSheetName,keywords
DR_0153_Drainage,DR0153,156,Excavate trenches for pipes ne 200mm dia; backfill with 6F2; dispose of surplus off site; depth to invert:; depth to invert: 3.75 - 4 m,m,Drainage,Pipework,Drainage Works,606.26,Drainage!O185,606.26,Drainage!A185,Drainage,200mm|excavate|trench|pipe|backfill|dispose|invert|depth
DR_0154_Drainage,DR0154,157,Excavate trenches for pipes ne 200mm dia; backfill with 6F2; dispose of surplus off site; depth to invert:; depth to invert: 4 - 4.25 m,m,Drainage,Pipework,Drainage Works,800.28,Drainage!O186,800.28,Drainage!A186,Drainage,200mm|excavate|trench|pipe|backfill|dispose|invert|depth
DR_0155_Drainage,DR0155,158,Excavate trenches for pipes ne 200mm dia; backfill with 6F2; dispose of surplus off site; depth to invert:; depth to invert: 4.25 - 4.5 m,m,Drainage,Pipework,Drainage Works,848.38,Drainage!O187,848.38,Drainage!A187,Drainage,200mm|excavate|trench|pipe|backfill|dispose|invert|depth
DR_0156_Drainage,DR0156,159,Excavate trenches for pipes ne 200mm dia; backfill with 6F2; dispose of surplus off site; depth to invert:; depth to invert: 4.5 - 4.75 m,m,Drainage,Pipework,Drainage Works,896.48,Drainage!O188,896.48,Drainage!A188,Drainage,200mm|excavate|trench|pipe|backfill|dispose|invert|depth
DR_0157_Drainage,DR0157,160,Excavate trenches for pipes ne 200mm dia; backfill with 6F2; dispose of surplus off site; depth to invert:; depth to invert: 4.75 - 5 m,m,Drainage,Pipework,Drainage Works,944.58,Drainage!O189,944.58,Drainage!A189,Drainage,200mm|excavate|trench|pipe|backfill|dispose|invert|depth
DR_0158_Drainage,DR0158,161,Excavate trenches for pipes ne 200mm dia; backfill with 6F2; dispose of surplus off site; depth to invert:; depth to invert: 5 - 5.25 m,m,Drainage,Pipework,Drainage Works,992.68,Drainage!O190,992.68,Drainage!A190,Drainage,200mm|excavate|trench|pipe|backfill|dispose|invert|depth
DR_0159_Drainage,DR0159,162,Excavate trenches for pipes ne 200mm dia; backfill with 6F2; dispose of surplus off site; depth to invert:; depth to invert: 5.25 - 5.5 m,m,Drainage,Pipework,Drainage Works,1040.78,Drainage!O191,1040.78,Drainage!A191,Drainage,200mm|excavate|trench|pipe|backfill|dispose|invert|depth
DR_0160_Drainage,DR0160,163,Excavate trenches for pipes ne 200mm dia; backfill with 6F2; dispose of surplus off site; depth to invert:; depth to invert: 5.5 - 5.75 m,m,Drainage,Pipework,Drainage Works,1088.89,Drainage!O192,1088.89,Drainage!A192,Drainage,200mm|excavate|trench|pipe|backfill|dispose|invert|depth
DR_0161_Drainage,DR0161,164,Excavate trenches for pipes ne 200mm dia; backfill with 6F2; dispose of surplus off site; depth to invert:; depth to invert: 5.75 - 6 m,m,Drainage,Pipework,Drainage Works,1136.99,Drainage!O193,1136.99,Drainage!A193,Drainage,200mm|excavate|trench|pipe|backfill|dispose|invert|depth
DR_0162_Drainage,DR0162,165,Excavate trenches for pipes ne 200mm dia; backfill with 6F2; dispose of surplus off site; depth to invert:; depth to invert: 6 - 6.25 m,m,Drainage,Pipework,Drainage Works,1185.09,Drainage!O194,1185.09,Drainage!A194,Drainage,200mm|excavate|trench|pipe|backfill|dispose|invert|depth
DR_0163_Drainage,DR0163,166,Excavate trenches for pipes ne 200mm dia; backfill with 6F2; dispose of surplus off site; depth to invert:; depth to invert: 6.25 - 6.5 m,m,Drainage,Pipework,Drainage Works,1233.19,Drainage!O195,1233.19,Drainage!A195,Drainage,200mm|excavate|trench|pipe|backfill|dispose|invert|depth
DR_0164_Drainage,DR0164,167,Excavate trenches for pipes ne 200mm dia; backfill with 6F2; dispose of surplus off site; depth to invert:; depth to invert: 6.5 - 6.75 m,m,Drainage,Pipework,Drainage Works,1281.29,Drainage!O196,1281.29,Drainage!A196,Drainage,200mm|excavate|trench|pipe|backfill|dispose|invert|depth
DR_0165_Drainage,DR0165,168,Excavate trenches for pipes ne 200mm dia; backfill with 6F2; dispose of surplus off site; depth to invert:; depth to invert: 6.75 - 7 m,m,Drainage,Pipework,Drainage Works,1329.39,Drainage!O197,1329.39,Drainage!A197,Drainage,200mm|excavate|trench|pipe|backfill|dispose|invert|depth
DR_0166_Drainage,DR0166,169,Excavate trenches for pipes ne 200mm dia; backfill with 6F2; dispose of surplus on site; depth to invert:; depth to invert: not exceeding 0.5 m,m,Drainage,Pipework,Drainage Works,7.29,Drainage!O199,7.29,Drainage!A199,Drainage,200mm|excavate|trench|pipe|backfill|dispose|invert|depth
DR_0167_Drainage,DR0167,170,Excavate trenches for pipes ne 200mm dia; backfill with 6F2; dispose of surplus on site; depth to invert:; depth to invert: 0.5 - 0.75 m,m,Drainage,Pipework,Drainage Works,14.86,Drainage!O200,14.86,Drainage!A200,Drainage,200mm|excavate|trench|pipe|backfill|dispose|invert|depth
DR_0168_Drainage,DR0168,171,Excavate trenches for pipes ne 200mm dia; backfill with 6F2; dispose of surplus on site; depth to invert:; depth to invert: 0.75 - 1 m,m,Drainage,Pipework,Drainage Works,23.53,Drainage!O201,23.53,Drainage!A201,Drainage,200mm|excavate|trench|pipe|backfill|dispose|invert|depth
DR_0169_Drainage,DR0169,172,Excavate trenches for pipes ne 200mm dia; backfill with 6F2; dispose of surplus on site; depth to invert:; depth to invert: 1 - 1.25 m,m,Drainage,Pipework,Drainage Works,39.17,Drainage!O202,39.17,Drainage!A202,Drainage,200mm|excavate|trench|pipe|backfill|dispose|invert|depth
DR_0170_Drainage,DR0170,173,Excavate trenches for pipes ne 200mm dia; backfill with 6F2; dispose of surplus on site; depth to invert:; depth to invert: 1.25 - 1.5 m,m,Drainage,Pipework,Drainage Works,48.42,Drainage!O203,48.42,Drainage!A203,Drainage,200mm|excavate|trench|pipe|backfill|dispose|invert|depth
DR_0171_Drainage,DR0171,174,Excavate trenches for pipes ne 200mm dia; backfill with 6F2; dispose of surplus on site; depth to invert:; depth to invert: 1.5 - 1.75 m,m,Drainage,Pipework,Drainage Works,71.04,Drainage!O204,71.04,Drainage!A204,Drainage,200mm|excavate|trench|pipe|backfill|dispose|invert|depth
DR_0172_Drainage,DR0172,175,Excavate trenches for pipes ne 200mm dia; backfill with 6F2; dispose of surplus on site; depth to invert:; depth to invert: 1.75 - 2 m,m,Drainage,Pipework,Drainage Works,82.45,Drainage!O205,82.45,Drainage!A205,Drainage,200mm|excavate|trench|pipe|backfill|dispose|invert|depth
DR_0173_Drainage,DR0173,176,Excavate trenches for pipes ne 200mm dia; backfill with 6F2; dispose of surplus on site; depth to invert:; depth to invert: 2 - 2.25 m,m,Drainage,Pipework,Drainage Works,118.12,Drainage!O206,118.12,Drainage!A206,Drainage,200mm|excavate|trench|pipe|backfill|dispose|invert|depth
DR_0174_Drainage,DR0174,177,Excavate trenches for pipes ne 200mm dia; backfill with 6F2; dispose of surplus on site; depth to invert:; depth to invert: 2.25 - 2.5 m,m,Drainage,Pipework,Drainage Works,138.72,Drainage!O207,138.72,Drainage!A207,Drainage,200mm|excavate|trench|pipe|backfill|dispose|invert|depth
DR_0175_Drainage,DR0175,178,Excavate trenches for pipes ne 200mm dia; backfill with 6F2; dispose of surplus on site; depth to invert:; depth to invert: 2.5 - 2.75 m,m,Drainage,Pipework,Drainage Works,171.4,Drainage!O208,171.4,Drainage!A208,Drainage,200mm|excavate|trench|pipe|backfill|dispose|invert|depth
DR_0176_Drainage,DR0176,179,Excavate trenches for pipes ne 200mm dia; backfill with 6F2; dispose of surplus on site; depth to invert:; depth to invert: 2.75 - 3 m,m,Drainage,Pipework,Drainage Works,203.8,Drainage!O209,203.8,Drainage!A209,Drainage,200mm|excavate|trench|pipe|backfill|dispose|invert|depth
DR_0177_Drainage,DR0177,180,Excavate trenches for pipes ne 200mm dia; backfill with 6F2; dispose of surplus on site; depth to invert:; depth to invert: 3 - 3.25 m,m,Drainage,Pipework,Drainage Works,222.02,Drainage!O210,222.02,Drainage!A210,Drainage,200mm|excavate|trench|pipe|backfill|dispose|invert|depth
DR_0178_Drainage,DR0178,181,Excavate trenches for pipes ne 200mm dia; backfill with 6F2; dispose of surplus on site; depth to invert:; depth to invert: 3.25 - 3.5 m,m,Drainage,Pipework,Drainage Works,240.25,Drainage!O211,240.25,Drainage!A211,Drainage,200mm|excavate|trench|pipe|backfill|dispose|invert|depth
DR_0179_Drainage,DR0179,182,Excavate trenches for pipes ne 200mm dia; backfill with 6F2; dispose of surplus on site; depth to invert:; depth to invert: 3.5 - 3.75 m,m,Drainage,Pipework,Drainage Works,337.59,Drainage!O212,337.59,Drainage!A212,Drainage,200mm|excavate|trench|pipe|backfill|dispose|invert|depth
DR_0180_Drainage,DR0180,183,Excavate trenches for pipes ne 200mm dia; backfill with 6F2; dispose of surplus on site; depth to invert:; depth to invert: 3.75 - 4 m,m,Drainage,Pipework,Drainage Works,361.42,Drainage!O213,361.42,Drainage!A213,Drainage,200mm|excavate|trench|pipe|backfill|dispose|invert|depth
DR_0181_Drainage,DR0181,184,Excavate trenches for pipes ne 200mm dia; backfill with 6F2; dispose of surplus on site; depth to invert:; depth to invert: 4 - 4.25 m,m,Drainage,Pipework,Drainage Works,475.57,Drainage!O214,475.57,Drainage!A214,Drainage,200mm|excavate|trench|pipe|backfill|dispose|invert|depth
DR_0182_Drainage,DR0182,185,Excavate trenches for pipes ne 200mm dia; backfill with 6F2; dispose of surplus on site; depth to invert:; depth to invert: 4.25 - 4.5 m,m,Drainage,Pipework,Drainage Works,505.01,Drainage!O215,505.01,Drainage!A215,Drainage,200mm|excavate|trench|pipe|backfill|dispose|invert|depth
DR_0183_Drainage,DR0183,186,Excavate trenches for pipes ne 200mm dia; backfill with 6F2; dispose of surplus on site; depth to invert:; depth to invert: 4.5 - 4.75 m,m,Drainage,Pipework,Drainage Works,534.45,Drainage!O216,534.45,Drainage!A216,Drainage,200mm|excavate|trench|pipe|backfill|dispose|invert|depth
DR_0184_Drainage,DR0184,187,Excavate trenches for pipes ne 200mm dia; backfill with 6F2; dispose of surplus on site; depth to invert:; depth to invert: 4.75 - 5 m,m,Drainage,Pipework,Drainage Works,563.88,Drainage!O217,563.88,Drainage!A217,Drainage,200mm|excavate|trench|pipe|backfill|dispose|invert|depth
DR_0185_Drainage,DR0185,188,Excavate trenches for 225mm dia pipes; backfill with 6F2; dispose of surplus off site; depth to invert:; depth to invert: not exceeding 0.5 m,m,Drainage,Pipework,Drainage Works,18.94,Drainage!O219,18.94,Drainage!A219,Drainage,225mm|excavate|trench|pipe|backfill|dispose|invert|depth
DR_0186_Drainage,DR0186,189,Excavate trenches for 225mm dia pipes; backfill with 6F2; dispose of surplus off site; depth to invert:; depth to invert: 0.5 - 0.75 m,m,Drainage,Pipework,Drainage Works,31.11,Drainage!O220,31.11,Drainage!A220,Drainage,225mm|excavate|trench|pipe|backfill|dispose|invert|depth
DR_0187_Drainage,DR0187,190,Excavate trenches for 225mm dia pipes; backfill with 6F2; dispose of surplus off site; depth to invert:; depth to invert: 0.75 - 1 m,m,Drainage,Pipework,Drainage Works,44.92,Drainage!O221,44.92,Drainage!A221,Drainage,225mm|excavate|trench|pipe|backfill|dispose|invert|depth
DR_0188_Drainage,DR0188,191,Excavate trenches for 225mm dia pipes; backfill with 6F2; dispose of surplus off site; depth to invert:; depth to invert: 1 - 1.25 m,m,Drainage,Pipework,Drainage Works,68.1,Drainage!O222,68.1,Drainage!A222,Drainage,225mm|excavate|trench|pipe|backfill|dispose|invert|depth
DR_0189_Drainage,DR0189,192,Excavate trenches for 225mm dia pipes; backfill with 6F2; dispose of surplus off site; depth to invert:; depth to invert: 1.25 - 1.5 m,m,Drainage,Pipework,Drainage Works,82.95,Drainage!O223,82.95,Drainage!A223,Drainage,225mm|excavate|trench|pipe|backfill|dispose|invert|depth
DR_0190_Drainage,DR0190,193,Excavate trenches for 225mm dia pipes; backfill with 6F2; dispose of surplus off site; depth to invert:; depth to invert: 1.5 - 1.75 m,m,Drainage,Pipework,Drainage Works,121.21,Drainage!O224,121.21,Drainage!A224,Drainage,225mm|excavate|trench|pipe|backfill|dispose|invert|depth
DR_0191_Drainage,DR0191,194,Excavate trenches for 225mm dia pipes; backfill with 6F2; dispose of surplus off site; depth to invert:; depth to invert: 1.75 - 2 m,m,Drainage,Pipework,Drainage Works,139.62,Drainage!O225,139.62,Drainage!A225,Drainage,225mm|excavate|trench|pipe|backfill|dispose|invert|depth
DR_0192_Drainage,DR0192,195,Excavate trenches for 225mm dia pipes; backfill with 6F2; dispose of surplus off site; depth to invert:; depth to invert: 2 - 2.25 m,m,Drainage,Pipework,Drainage Works,199.39,Drainage!O226,199.39,Drainage!A226,Drainage,225mm|excavate|trench|pipe|backfill|dispose|invert|depth
DR_0193_Drainage,DR0193,196,Excavate trenches for 225mm dia pipes; backfill with 6F2; dispose of surplus off site; depth to invert:; depth to invert: 2.25 - 2.5 m,m,Drainage,Pipework,Drainage Works,233.6,Drainage!O227,233.6,Drainage!A227,Drainage,225mm|excavate|trench|pipe|backfill|dispose|invert|depth
DR_0194_Drainage,DR0194,197,Excavate trenches for 225mm dia pipes; backfill with 6F2; dispose of surplus off site; depth to invert:; depth to invert: 2.5 - 2.75 m,m,Drainage,Pipework,Drainage Works,286.03,Drainage!O228,286.03,Drainage!A228,Drainage,225mm|excavate|trench|pipe|backfill|dispose|invert|depth
DR_0195_Drainage,DR0195,198,Excavate trenches for 225mm dia pipes; backfill with 6F2; dispose of surplus off site; depth to invert:; depth to invert: 2.75 - 3 m,m,Drainage,Pipework,Drainage Works,340.04,Drainage!O229,340.04,Drainage!A229,Drainage,225mm|excavate|trench|pipe|backfill|dispose|invert|depth
DR_0196_Drainage,DR0196,199,Excavate trenches for 225mm dia pipes; backfill with 6F2; dispose of surplus off site; depth to invert:; depth to invert: 3 - 3.25 m,m,Drainage,Pipework,Drainage Works,369.47,Drainage!O230,369.47,Drainage!A230,Drainage,225mm|excavate|trench|pipe|backfill|dispose|invert|depth
DR_0197_Drainage,DR0197,200,Excavate trenches for 225mm dia pipes; backfill with 6F2; dispose of surplus off site; depth to invert:; depth to invert: 3.25 - 3.5 m,m,Drainage,Pipework,Drainage Works,398.89,Drainage!O231,398.89,Drainage!A231,Drainage,225mm|excavate|trench|pipe|backfill|dispose|invert|depth
DR_0198_Drainage,DR0198,201,Excavate trenches for 225mm dia pipes; backfill with 6F2; dispose of surplus off site; depth to invert:; depth to invert: 3.5 - 3.75 m,m,Drainage,Pipework,Drainage Works,564.04,Drainage!O232,564.04,Drainage!A232,Drainage,225mm|excavate|trench|pipe|backfill|dispose|invert|depth
DR_0199_Drainage,DR0199,202,Excavate trenches for 225mm dia pipes; backfill with 6F2; dispose of surplus off site; depth to invert:; depth to invert: 3.75 - 4 m,m,Drainage,Pipework,Drainage Works,602.8,Drainage!O233,602.8,Drainage!A233,Drainage,225mm|excavate|trench|pipe|backfill|dispose|invert|depth
DR_0200_Drainage,DR0200,203,Excavate trenches for 225mm dia pipes; backfill with 6F2; dispose of surplus off site; depth to invert:; depth to invert: 4 - 4.25 m,m,Drainage,Pipework,Drainage Works,795.96,Drainage!O234,795.96,Drainage!A234,Drainage,225mm|excavate|trench|pipe|backfill|dispose|invert|depth
DR_0201_Drainage,DR0201,204,Excavate trenches for 225mm dia pipes; backfill with 6F2; dispose of surplus off site; depth to invert:; depth to invert: 4.25 - 4.5 m,m,Drainage,Pipework,Drainage Works,844.06,Drainage!O235,844.06,Drainage!A235,Drainage,225mm|excavate|trench|pipe|backfill|dispose|invert|depth
DR_0202_Drainage,DR0202,205,Excavate trenches for 225mm dia pipes; backfill with 6F2; dispose of surplus off site; depth to invert:; depth to invert: 4.5 - 4.75 m,m,Drainage,Pipework,Drainage Works,892.16,Drainage!O236,892.16,Drainage!A236,Drainage,225mm|excavate|trench|pipe|backfill|dispose|invert|depth
DR_0203_Drainage,DR0203,206,Excavate trenches for 225mm dia pipes; backfill with 6F2; dispose of surplus off site; depth to invert:; depth to invert: 4.75 - 5 m,m,Drainage,Pipework,Drainage Works,940.26,Drainage!O237,940.26,Drainage!A237,Drainage,225mm|excavate|trench|pipe|backfill|dispose|invert|depth
DR_0204_Drainage,DR0204,207,Excavate trenches for 225mm dia pipes; backfill with 6F2; dispose of surplus off site; depth to invert:; depth to invert: 5 - 5.25 m,m,Drainage,Pipework,Drainage Works,988.36,Drainage!O238,988.36,Drainage!A238,Drainage,225mm|excavate|trench|pipe|backfill|dispose|invert|depth
DR_0205_Drainage,DR0205,208,Excavate trenches for 225mm dia pipes; backfill with 6F2; dispose of surplus off site; depth to invert:; depth to invert: 5.25 - 5.5 m,m,Drainage,Pipework,Drainage Works,1036.46,Drainage!O239,1036.46,Drainage!A239,Drainage,225mm|excavate|trench|pipe|backfill|dispose|invert|depth
DR_0206_Drainage,DR0206,209,Excavate trenches for 225mm dia pipes; backfill with 6F2; dispose of surplus off site; depth to invert:; depth to invert: 5.5 - 5.75 m,m,Drainage,Pipework,Drainage Works,1084.56,Drainage!O240,1084.56,Drainage!A240,Drainage,225mm|excavate|trench|pipe|backfill|dispose|invert|depth
DR_0207_Drainage,DR0207,210,Excavate trenches for 225mm dia pipes; backfill with 6F2; dispose of surplus off site; depth to invert:; depth to invert: 5.75 - 6 m,m,Drainage,Pipework,Drainage Works,1132.66,Drainage!O241,1132.66,Drainage!A241,Drainage,225mm|excavate|trench|pipe|backfill|dispose|invert|depth
DR_0208_Drainage,DR0208,211,Excavate trenches for 225mm dia pipes; backfill with 6F2; dispose of surplus off site; depth to invert:; depth to invert: 6 - 6.25 m,m,Drainage,Pipework,Drainage Works,1180.76,Drainage!O242,1180.76,Drainage!A242,Drainage,225mm|excavate|trench|pipe|backfill|dispose|invert|depth
DR_0209_Drainage,DR0209,212,Excavate trenches for 225mm dia pipes; backfill with 6F2; dispose of surplus off site; depth to invert:; depth to invert: 6.25 - 6.5 m,m,Drainage,Pipework,Drainage Works,1228.86,Drainage!O243,1228.86,Drainage!A243,Drainage,225mm|excavate|trench|pipe|backfill|dispose|invert|depth
DR_0210_Drainage,DR0210,213,Excavate trenches for 225mm dia pipes; backfill with 6F2; dispose of surplus on site; depth to invert:; depth to invert: not exceeding 0.5 m,m,Drainage,Pipework,Drainage Works,8.01,Drainage!O245,8.01,Drainage!A245,Drainage,225mm|excavate|trench|pipe|backfill|dispose|invert|depth
DR_0211_Drainage,DR0211,214,Excavate trenches for 225mm dia pipes; backfill with 6F2; dispose of surplus on site; depth to invert:; depth to invert: 0.5 - 0.75 m,m,Drainage,Pipework,Drainage Works,16.19,Drainage!O246,16.19,Drainage!A246,Drainage,225mm|excavate|trench|pipe|backfill|dispose|invert|depth
DR_0212_Drainage,DR0212,215,Excavate trenches for 225mm dia pipes; backfill with 6F2; dispose of surplus on site; depth to invert:; depth to invert: 0.75 - 1 m,m,Drainage,Pipework,Drainage Works,24.37,Drainage!O247,24.37,Drainage!A247,Drainage,225mm|excavate|trench|pipe|backfill|dispose|invert|depth
DR_0213_Drainage,DR0213,216,Excavate trenches for 225mm dia pipes; backfill with 6F2; dispose of surplus on site; depth to invert:; depth to invert: 1 - 1.25 m,m,Drainage,Pipework,Drainage Works,43.19,Drainage!O248,43.19,Drainage!A248,Drainage,225mm|excavate|trench|pipe|backfill|dispose|invert|depth
DR_0214_Drainage,DR0214,217,Excavate trenches for 225mm dia pipes; backfill with 6F2; dispose of surplus on site; depth to invert:; depth to invert: 1.25 - 1.5 m,m,Drainage,Pipework,Drainage Works,53.5,Drainage!O249,53.5,Drainage!A249,Drainage,225mm|excavate|trench|pipe|backfill|dispose|invert|depth
DR_0215_Drainage,DR0215,218,Excavate trenches for 225mm dia pipes; backfill with 6F2; dispose of surplus on site; depth to invert:; depth to invert: 1.5 - 1.75 m,m,Drainage,Pipework,Drainage Works,76.04,Drainage!O250,76.04,Drainage!A250,Drainage,225mm|excavate|trench|pipe|backfill|dispose|invert|depth
DR_0216_Drainage,DR0216,219,Excavate trenches for 225mm dia pipes; backfill with 6F2; dispose of surplus on site; depth to invert:; depth to invert: 1.75 - 2 m,m,Drainage,Pipework,Drainage Works,88.39,Drainage!O251,88.39,Drainage!A251,Drainage,225mm|excavate|trench|pipe|backfill|dispose|invert|depth
DR_0217_Drainage,DR0217,220,Excavate trenches for 225mm dia pipes; backfill with 6F2; dispose of surplus on site; depth to invert:; depth to invert: 2 - 2.25 m,m,Drainage,Pipework,Drainage Works,127.95,Drainage!O252,127.95,Drainage!A252,Drainage,225mm|excavate|trench|pipe|backfill|dispose|invert|depth
DR_0218_Drainage,DR0218,221,Excavate trenches for 225mm dia pipes; backfill with 6F2; dispose of surplus on site; depth to invert:; depth to invert: 2.25 - 2.5 m,m,Drainage,Pipework,Drainage Works,143.72,Drainage!O253,143.72,Drainage!A253,Drainage,225mm|excavate|trench|pipe|backfill|dispose|invert|depth
DR_0219_Drainage,DR0219,222,Excavate trenches for 300mm dia pipes; backfill with 6F2; dispose of surplus off site; depth to invert:; depth to invert: not exceeding 0.5 m,m,Drainage,Pipework,Drainage Works,20.14,Drainage!O255,20.14,Drainage!A255,Drainage,300mm|excavate|trench|pipe|backfill|dispose|invert|depth
DR_0220_Drainage,DR0220,223,Excavate trenches for 300mm dia pipes; backfill with 6F2; dispose of surplus off site; depth to invert:; depth to invert: 0.5 - 0.75 m,m,Drainage,Pipework,Drainage Works,33.93,Drainage!O256,33.93,Drainage!A256,Drainage,300mm|excavate|trench|pipe|backfill|dispose|invert|depth
DR_0221_Drainage,DR0221,224,Excavate trenches for 300mm dia pipes; backfill with 6F2; dispose of surplus off site; depth to invert:; depth to invert: 0.75 - 1 m,m,Drainage,Pipework,Drainage Works,47.71,Drainage!O257,47.71,Drainage!A257,Drainage,300mm|excavate|trench|pipe|backfill|dispose|invert|depth
DR_0222_Drainage,DR0222,225,Excavate trenches for 300mm dia pipes; backfill with 6F2; dispose of surplus off site; depth to invert:; depth to invert: 1 - 1.25 m,m,Drainage,Pipework,Drainage Works,72.12,Drainage!O258,72.12,Drainage!A258,Drainage,300mm|excavate|trench|pipe|backfill|dispose|invert|depth
DR_0223_Drainage,DR0223,226,Excavate trenches for 300mm dia pipes; backfill with 6F2; dispose of surplus off site; depth to invert:; depth to invert: 1.25 - 1.5 m,m,Drainage,Pipework,Drainage Works,88.03,Drainage!O259,88.03,Drainage!A259,Drainage,300mm|excavate|trench|pipe|backfill|dispose|invert|depth
DR_0224_Drainage,DR0224,227,Excavate trenches for 300mm dia pipes; backfill with 6F2; dispose of surplus off site; depth to invert:; depth to invert: 1.5 - 1.75 m,m,Drainage,Pipework,Drainage Works,126.2,Drainage!O260,126.2,Drainage!A260,Drainage,300mm|excavate|trench|pipe|backfill|dispose|invert|depth
DR_0225_Drainage,DR0225,228,Excavate trenches for 300mm dia pipes; backfill with 6F2; dispose of surplus off site; depth to invert:; depth to invert: 1.75 - 2 m,m,Drainage,Pipework,Drainage Works,145.56,Drainage!O261,145.56,Drainage!A261,Drainage,300mm|excavate|trench|pipe|backfill|dispose|invert|depth
DR_0226_Drainage,DR0226,229,Excavate trenches for 300mm dia pipes; backfill with 6F2; dispose of surplus off site; depth to invert:; depth to invert: 2 - 2.25 m,m,Drainage,Pipework,Drainage Works,194.06,Drainage!O262,194.06,Drainage!A262,Drainage,300mm|excavate|trench|pipe|backfill|dispose|invert|depth
DR_0227_Drainage,DR0227,230,Excavate trenches for 300mm dia pipes; backfill with 6F2; dispose of surplus off site; depth to invert:; depth to invert: 2.25 - 2.5 m,m,Drainage,Pipework,Drainage Works,216.86,Drainage!O263,216.86,Drainage!A263,Drainage,300mm|excavate|trench|pipe|backfill|dispose|invert|depth
DR_0228_Drainage,DR0228,231,Excavate trenches for 300mm dia pipes; backfill with 6F2; dispose of surplus off site; depth to invert:; depth to invert: 2.5 - 2.75 m,m,Drainage,Pipework,Drainage Works,274.79,Drainage!O264,274.79,Drainage!A264,Drainage,300mm|excavate|trench|pipe|backfill|dispose|invert|depth
DR_0229_Drainage,DR0229,232,Excavate trenches for 300mm dia pipes; backfill with 6F2; dispose of surplus off site; depth to invert:; depth to invert: 2.75 - 3 m,m,Drainage,Pipework,Drainage Works,300.96,Drainage!O265,300.96,Drainage!A265,Drainage,300mm|excavate|trench|pipe|backfill|dispose|invert|depth
DR_0230_Drainage,DR0230,233,Excavate trenches for 300mm dia pipes; backfill with 6F2; dispose of surplus off site; depth to invert:; depth to invert: 3 - 3.25 m,m,Drainage,Pipework,Drainage Works,385.21,Drainage!O266,385.21,Drainage!A266,Drainage,300mm|excavate|trench|pipe|backfill|dispose|invert|depth
DR_0231_Drainage,DR0231,234,Excavate trenches for 300mm dia pipes; backfill with 6F2; dispose of surplus off site; depth to invert:; depth to invert: 3.25 - 3.5 m,m,Drainage,Pipework,Drainage Works,416.05,Drainage!O267,416.05,Drainage!A267,Drainage,300mm|excavate|trench|pipe|backfill|dispose|invert|depth
DR_0232_Drainage,DR0232,235,Excavate trenches for 300mm dia pipes; backfill with 6F2; dispose of surplus off site; depth to invert:; depth to invert: 3.5 - 3.75 m,m,Drainage,Pipework,Drainage Works,581.74,Drainage!O268,581.74,Drainage!A268,Drainage,300mm|excavate|trench|pipe|backfill|dispose|invert|depth
DR_0233_Drainage,DR0233,236,Excavate trenches for 300mm dia pipes; backfill with 6F2; dispose of surplus off site; depth to invert:; depth to invert: 3.75 - 4 m,m,Drainage,Pipework,Drainage Works,621.91,Drainage!O269,621.91,Drainage!A269,Drainage,300mm|excavate|trench|pipe|backfill|dispose|invert|depth
DR_0234_Drainage,DR0234,237,Excavate trenches for 300mm dia pipes; backfill with 6F2; dispose of surplus off site; depth to invert:; depth to invert: 4 - 4.25 m,m,Drainage,Pipework,Drainage Works,815.61,Drainage!O270,815.61,Drainage!A270,Drainage,300mm|excavate|trench|pipe|backfill|dispose|invert|depth
DR_0235_Drainage,DR0235,238,Excavate trenches for 300mm dia pipes; backfill with 6F2; dispose of surplus off site; depth to invert:; depth to invert: 4.25 - 4.5 m,m,Drainage,Pipework,Drainage Works,865.13,Drainage!O271,865.13,Drainage!A271,Drainage,300mm|excavate|trench|pipe|backfill|dispose|invert|depth
DR_0236_Drainage,DR0236,239,Excavate trenches for 300mm dia pipes; backfill with 6F2; dispose of surplus off site; depth to invert:; depth to invert: 4.5 - 4.75 m,m,Drainage,Pipework,Drainage Works,914.64,Drainage!O272,914.64,Drainage!A272,Drainage,300mm|excavate|trench|pipe|backfill|dispose|invert|depth
DR_0237_Drainage,DR0237,240,Excavate trenches for 300mm dia pipes; backfill with 6F2; dispose of surplus off site; depth to invert:; depth to invert: 4.75 - 5 m,m,Drainage,Pipework,Drainage Works,964.15,Drainage!O273,964.15,Drainage!A273,Drainage,300mm|excavate|trench|pipe|backfill|dispose|invert|depth
DR_0238_Drainage,DR0238,241,Excavate trenches for 300mm dia pipes; backfill with 6F2; dispose of surplus off site; depth to invert:; depth to invert: 5 - 5.25 m,m,Drainage,Pipework,Drainage Works,1013.66,Drainage!O274,1013.66,Drainage!A274,Drainage,300mm|excavate|trench|pipe|backfill|dispose|invert|depth
DR_0239_Drainage,DR0239,242,Excavate trenches for 300mm dia pipes; backfill with 6F2; dispose of surplus off site; depth to invert:; depth to invert: 5.25 - 5.5 m,m,Drainage,Pipework,Drainage Works,1063.17,Drainage!O275,1063.17,Drainage!A275,Drainage,300mm|excavate|trench|pipe|backfill|dispose|invert|depth
DR_0240_Drainage,DR0240,243,Excavate trenches for 300mm dia pipes; backfill with 6F2; dispose of surplus off site; depth to invert:; depth to invert: 5.5 - 5.75 m,m,Drainage,Pipework,Drainage Works,1112.68,Drainage!O276,1112.68,Drainage!A276,Drainage,300mm|excavate|trench|pipe|backfill|dispose|invert|depth
